CIK,FiscalYearEnd,COVID-19,SupplyChain,Furlough,Benefit Cut,InternationalSupplyChain,ComboParagraph,FFI49,FFI30,FFI12
35527,31-Dec-20,95,1,0,23,1,62,45,29,11
36029,31-Dec-20,0,0,0,0,0,0,45,29,11
36104,31-Dec-20,0,0,0,0,0,0,45,29,11
36146,31-Dec-20,62,1,0,7,0,33,45,29,11
36506,31-Dec-20,15,0,0,7,0,7,45,29,11
36966,31-Dec-20,59,0,2,24,0,59,45,29,11
37472,June 30,20,7,0,7,6,37,9,6,2
37785,"December 31, 2020",16,14,1,12,5,116,14,9,5
37808,31-Dec-20,59,1,1,17,2,35,45,29,11
37996,"December 31, 2020",37,5,0,20,4,204,23,15,2
38264,NONE,15,2,0,11,0,8,10,7,1
38725,31-Dec-20,1,1,0,1,0,52,22,14,3
38777,30-Sep-20,12,1,0,11,1,250,48,29,11
39020,NONE,17,1,0,2,0,23,38,23,6
39092,NONE,0,0,0,0,0,0,19,12,3
39263,31-Dec-20,50,2,1,19,0,38,45,29,11
39311,31-Dec-20,1,0,0,0,0,0,45,29,11
39899,"December 31, 2020",39,0,4,8,0,21,32,21,7
39911,30-Jan-21,63,15,1,11,5,158,43,27,9
40211,31-Dec-20,28,5,0,20,3,86,41,25,12
40545,31-Dec-20,50,23,0,49,9,152,49,30,12
40570,NONE,20,0,2,16,0,32,34,22,12
40704,5/31/2020,45,16,0,7,3,92,2,1,1
40729,31-Dec-20,117,2,0,27,1,48,45,29,11
40888,31-Dec-20,22,9,0,6,0,24,26,30,3
40987,"December 31, 2020",35,12,2,7,2,70,42,26,9
41719,"December 31, 2020",15,4,0,5,4,84,39,24,3
42582,31-Dec-20,57,3,3,16,1,153,23,15,3
42682,"December 31, 2020",13,1,0,1,0,58,21,13,3
42888,25-Dec-20,14,6,0,5,2,44,21,13,3
43196,31-Dec-20,18,0,0,5,0,46,32,21,7
43920,31-Oct-20,29,2,0,9,2,140,40,24,3
45012,"December 31, 2020",13,2,0,19,0,153,30,19,4
45876,12/31/2020,31,2,0,9,2,232,19,12,3
45919,NONE,18,0,0,8,0,76,34,22,12
46080,27-Dec-20,22,11,1,9,1,253,6,4,1
46129,31-Dec-20,30,8,0,6,4,72,22,14,3
46195,"December 31, 2020",51,0,0,15,0,18,45,29,11
46250,29-Mar-20,8,0,0,7,0,15,42,26,9
46619,"October 31, 2020",6,6,0,9,1,54,24,16,3
46765,30-Sep-20,42,2,0,25,0,176,30,19,4
47111,31-Dec-20,26,27,0,16,10,185,2,1,1
47217,31-Oct-20,31,17,0,13,3,125,35,23,6
47518,30-Sep-20,48,5,0,12,1,168,9,6,2
48287,2-Jan-21,22,3,0,9,1,57,39,24,3
48465,25-Oct-20,32,5,1,6,0,58,2,1,1
48898,31-Dec-20,35,7,1,14,4,97,22,14,2
49071,31-Dec-20,38,3,0,27,1,12,46,29,11
49196,31-Dec-20,54,1,0,19,1,36,45,29,11
49600,31-Dec-20,29,1,0,3,0,6,48,29,11
49728,30-Sep-20,22,15,0,10,1,15,37,23,6
49754,31-Dec-20,61,4,5,13,0,114,48,29,11
49826,31-Dec-20,30,3,0,5,1,112,21,13,3
49938,31-Dec-20,0,0,0,0,0,0,30,19,4
50471,NONE,19,24,0,6,0,9,36,22,6
50493,26-Sep,22,1,0,12,0,3,43,27,9
50725,30-Sep-20,33,11,0,16,5,172,17,11,3
50863,26-Dec-20,40,17,0,16,6,141,37,23,6
51143,"DECEMBER 31, 2020",8,2,0,3,4,41,36,22,6
51253,31-Dec-20,33,13,1,13,7,220,14,9,5
51434,12/31/2020,38,11,0,28,4,132,39,24,3
52827,31-Dec-20,12,1,0,4,1,37,48,29,11
52988,"October 2, 2020",41,3,2,28,3,205,18,11,12
54187,NONE,4,0,0,1,0,3,47,29,11
54381,31-Dec-20,35,3,3,37,1,65,24,16,3
54480,31-Dec-20,32,4,0,16,2,81,41,25,12
55067,2-Jan-21,41,16,0,31,5,175,2,1,1
55135,3-Jan-21,45,2,3,11,0,90,34,22,12
55242,30-Jun-20,25,4,2,10,5,98,21,13,3
55529,NONE,8,3,0,3,1,57,38,23,6
55772,6/30/2020,39,13,0,26,5,80,39,24,3
55785,31-Dec-20,14,12,0,16,6,93,39,24,3
